unique_tags
09-05-2024
2024-10-01
641598
646289
715501
84047
Amazon
Cancel/Do-Not-Like
Cancel/Too-Expensive
Complaint/quality
Due date request
Duplicate
MMEN-P
NO CSAT
Nausea
P-FROTH
Reflux
SKU WGRN-B
SKU WTR1-P
Ship/Damage
Side Effects
Smell/Taste
Urgent
WCON-P
WCYC-P
WEGG-P
WFER-B
WGRN-B
WHYD-B
WIRO-B
WLIB-B
WMOM-P
WPER-P
WPRO-B
WPSB-B
WPSP-B
WPT1-B
WREC-P
WSLP-B
WTR1-P
WTR2-P
WTR3-P
WWMN-P
abdomen pain
account
account/address-change
account/due-date
account/login-issues
account/payment-issue
account/receipt
assisted-by-siena
auto-reply
cancel/do-not-like
cancel/miscarriage
cancel/no-reason
cancel/other
compaint-date/2024-09-23
compaint-date/2024-11-27
complaint /nausea
complaint- date/ 2024 -10-21
complaint-allergy
complaint-nausea
complaint-quality
complaint-smell
complaint/ nausea
complaint/ smell - taste
complaint/Diarrhea
complaint/allergic
complaint/allergy
complaint/constipation
complaint/damage
complaint/damaged
complaint/headache
complaint/heat
complaint/missing pills
complaint/nausea
complaint/nausea-smell
complaint/oxidation
complaint/oxidization
complaint/quality
complaint/sick
complaint/side effects
complaint/side-effects
complaint/smell
complaint/smell-nausea
complaint/smell-taste
complaint/taste
complaint/taste-smell
complaint/tolerance
complait/nausea
complatint-date/2024-11-27
compliant/nausea
coomplaint/side effects
damaged/defective
email
fishy smell
general-product/ingredients
general-product/product
general-product/safety
handled-by-siena
interal/log
interenal/log
internal log
internal/ log
internal/calcium
internal/cellular
internal/chargeback
internal/error
internal/gelatin
internal/log
internal/open phone
internal/positive-feedback
internal/prop-65
negative feedback
offline-capture
order/exchange
order/promo
other/distribution
other/fishy
other/other
other/subscription-OTP
product-sensitivity/nausea
product-sensitivity/smell-taste
receipt
recycling label
refund/30-day
refund/courtesy
refund/denied
refund/unfulfilled
replacement/courtesy
return request
shipping/RTS
shipping/expedite
shipping/lost-stolen
shipping/policies
shipping/tracking
shipping/warehouse-error
siena-follow-needed
siena/cancel-f/u
siena/due-date
siena/stop-response
smell
subscription/reschedule
subscription/swap
subscription/swap-add
urgent
vomit
